event_id,event_type,source_user_id,target_user_id,created_at,content,interaction_velocity_5m,account_age_days,historical_report_rate,is_duplicate,historical_feedback_risk,label_risky_event,notification_text
evt-130,comment,u110,u280,2026-06-01 15:06:50.000,Excelente aporte,26,327,0.09,0,0,0,u110 comento tu publicacion
evt-129,comment,u103,u269,2026-06-01 15:03:33.000,Me interesa,13,290,0.23,0,1,1,u103 comento tu publicacion
evt-128,comment,u186,u258,2026-06-01 15:00:16.000,Gracias por compartir,45,253,0.06,0,1,1,u186 comento tu publicacion
evt-127,comment,u179,u247,2026-06-01 14:56:59.000,Buen dato,32,216,0.2,0,0,0,u179 comento tu publicacion
evt-126,comment,u172,u236,2026-06-01 14:53:42.000,Gran publicacion,19,179,0.03,0,0,0,u172 comento tu publicacion
evt-125,comment,u165,u225,2026-06-01 14:50:25.000,Muy util,6,142,0.17,0,0,0,u165 comento tu publicacion
evt-124,comment,u158,u214,2026-06-01 14:47:08.000,Excelente aporte,38,105,0,0,1,0,u158 comento tu publicacion
evt-123,comment,u151,u203,2026-06-01 14:43:51.000,Me interesa,25,68,0.14,0,0,0,u151 comento tu publicacion
evt-122,comment,u144,u282,2026-06-01 14:40:34.000,Gracias por compartir,12,31,0.28,0,1,1,u144 comento tu publicacion
evt-121,comment,u137,u271,2026-06-01 14:37:17.000,Buen dato,44,1490,0.11,0,1,1,u137 comento tu publicacion
evt-120,comment,u130,u260,2026-06-01 14:34:00.000,Gran publicacion,31,1453,0.25,0,1,1,u130 comento tu publicacion
evt-119,comment,u123,u249,2026-06-01 14:30:43.000,Muy util,18,1416,0.08,0,0,0,u123 comento tu publicacion
evt-118,comment,u116,u238,2026-06-01 14:27:26.000,Excelente aporte,5,1379,0.22,0,1,1,u116 comento tu publicacion
evt-117,comment,u109,u227,2026-06-01 14:24:09.000,Me interesa,37,1342,0.05,0,1,1,u109 comento tu publicacion
evt-116,comment,u102,u216,2026-06-01 14:20:52.000,Gracias por compartir,24,1305,0.19,0,0,0,u102 comento tu publicacion
evt-115,comment,u185,u205,2026-06-01 14:17:35.000,Buen dato,11,1268,0.02,0,0,0,u185 comento tu publicacion
evt-114,comment,u178,u284,2026-06-01 14:14:18.000,Gran publicacion,43,1231,0.16,0,1,1,u178 comento tu publicacion
evt-113,comment,u171,u273,2026-06-01 14:11:01.000,Muy util,30,1194,0.3,0,1,1,u171 comento tu publicacion
evt-112,comment,u164,u262,2026-06-01 14:07:44.000,Excelente aporte,17,1157,0.13,0,0,0,u164 comento tu publicacion
evt-111,comment,u157,u251,2026-06-01 14:04:27.000,Me interesa,4,1120,0.27,0,1,0,u157 comento tu publicacion
evt-110,comment,u150,u240,2026-06-01 14:01:10.000,Gracias por compartir,36,1083,0.1,0,1,1,u150 comento tu publicacion
evt-109,comment,u143,u229,2026-06-01 13:57:53.000,Buen dato,23,1046,0.24,0,1,1,u143 comento tu publicacion
evt-108,comment,u136,u218,2026-06-01 13:54:36.000,Gran publicacion,10,1009,0.07,0,0,0,u136 comento tu publicacion
evt-107,comment,u129,u207,2026-06-01 13:51:19.000,Muy util,42,972,0.21,0,1,1,u129 comento tu publicacion
evt-106,comment,u122,u286,2026-06-01 13:48:02.000,Excelente aporte,29,935,0.04,0,0,0,u122 comento tu publicacion
evt-105,comment,u115,u275,2026-06-01 13:44:45.000,Me interesa,16,898,0.18,0,0,0,u115 comento tu publicacion
evt-104,comment,u108,u264,2026-06-01 13:41:28.000,Gracias por compartir,3,861,0.01,0,0,0,u108 comento tu publicacion
evt-103,comment,u101,u253,2026-06-01 13:38:11.000,Buen dato,35,824,0.15,0,1,1,u101 comento tu publicacion
evt-102,comment,u184,u242,2026-06-01 13:34:54.000,Gran publicacion,22,787,0.29,0,1,1,u184 comento tu publicacion
evt-101,comment,u177,u231,2026-06-01 13:31:37.000,Muy util,9,750,0.12,0,0,0,u177 comento tu publicacion
evt-100,comment,u170,u220,2026-06-01 13:28:20.000,Excelente aporte,41,713,0.26,0,1,1,u170 comento tu publicacion
evt-099,comment,u163,u209,2026-06-01 13:25:03.000,Me interesa,28,676,0.09,0,0,0,u163 comento tu publicacion
evt-098,comment,u156,u288,2026-06-01 13:21:46.000,Gracias por compartir,15,639,0.23,0,1,1,u156 comento tu publicacion
