event_id,event_type,source_user_id,target_user_id,created_at,content,interaction_velocity_5m,account_age_days,historical_report_rate,is_duplicate,historical_feedback_risk,label_risky_event,notification_text
evt-070,like,u140,u250,2026-06-01 11:49:50.000,,11,1099,0.12,0,0,0,u140 reacciono a tu publicacion
evt-069,like,u133,u239,2026-06-01 11:46:33.000,,43,1062,0.26,0,1,1,u133 reacciono a tu publicacion
evt-068,like,u126,u228,2026-06-01 11:43:16.000,,30,1025,0.09,0,0,0,u126 reacciono a tu publicacion
evt-067,like,u119,u217,2026-06-01 11:39:59.000,,17,988,0.23,0,1,1,u119 reacciono a tu publicacion
evt-066,like,u112,u206,2026-06-01 11:36:42.000,,4,951,0.06,0,0,0,u112 reacciono a tu publicacion
evt-065,like,u105,u285,2026-06-01 11:33:25.000,,36,914,0.2,0,1,1,u105 reacciono a tu publicacion
evt-064,like,u188,u274,2026-06-01 11:30:08.000,,23,877,0.03,0,0,0,u188 reacciono a tu publicacion
evt-063,like,u181,u263,2026-06-01 11:26:51.000,,10,840,0.17,0,0,0,u181 reacciono a tu publicacion
evt-062,like,u174,u252,2026-06-01 11:23:34.000,,42,803,0,0,1,0,u174 reacciono a tu publicacion
evt-061,like,u167,u241,2026-06-01 11:20:17.000,,29,766,0.14,0,0,0,u167 reacciono a tu publicacion
evt-060,like,u160,u230,2026-06-01 11:17:00.000,,16,729,0.28,0,1,1,u160 reacciono a tu publicacion
evt-059,like,u153,u219,2026-06-01 11:13:43.000,,3,692,0.11,0,0,0,u153 reacciono a tu publicacion
evt-058,like,u146,u208,2026-06-01 11:10:26.000,,35,655,0.25,0,1,1,u146 reacciono a tu publicacion
evt-057,like,u139,u287,2026-06-01 11:07:09.000,,22,618,0.08,0,0,0,u139 reacciono a tu publicacion
evt-056,like,u132,u276,2026-06-01 11:03:52.000,,9,581,0.22,0,1,1,u132 reacciono a tu publicacion
evt-055,like,u125,u265,2026-06-01 11:00:35.000,,41,544,0.05,0,1,1,u125 reacciono a tu publicacion
evt-054,like,u118,u254,2026-06-01 10:57:18.000,,28,507,0.19,0,0,0,u118 reacciono a tu publicacion
evt-053,like,u111,u243,2026-06-01 10:54:01.000,,15,470,0.02,0,0,0,u111 reacciono a tu publicacion
evt-052,like,u104,u232,2026-06-01 10:50:44.000,,2,433,0.16,0,0,0,u104 reacciono a tu publicacion
evt-051,like,u187,u221,2026-06-01 10:47:27.000,,34,396,0.3,0,1,1,u187 reacciono a tu publicacion
evt-050,like,u180,u210,2026-06-01 10:44:10.000,,21,359,0.13,0,0,0,u180 reacciono a tu publicacion
evt-049,like,u173,u289,2026-06-01 10:40:53.000,,8,322,0.27,0,1,1,u173 reacciono a tu publicacion
evt-048,like,u166,u278,2026-06-01 10:37:36.000,,40,285,0.1,0,1,1,u166 reacciono a tu publicacion
evt-047,like,u159,u267,2026-06-01 10:34:19.000,,27,248,0.24,0,1,1,u159 reacciono a tu publicacion
evt-046,like,u152,u256,2026-06-01 10:31:02.000,,14,211,0.07,0,0,0,u152 reacciono a tu publicacion
evt-045,like,u145,u245,2026-06-01 10:27:45.000,,1,174,0.21,0,0,0,u145 reacciono a tu publicacion
evt-044,like,u138,u234,2026-06-01 10:24:28.000,,33,137,0.04,0,0,0,u138 reacciono a tu publicacion
evt-043,like,u131,u223,2026-06-01 10:21:11.000,,20,100,0.18,0,0,0,u131 reacciono a tu publicacion
